booking_id,passenger_id,flight_id,booking_date_id,status,seat_number,amount,amount_is_missing,payment_method
B1051,P1922,6F028,20250705,CANCELLED,16A,10875.08,False,CARD
B1052,P1128,UK209,20251230,CANCELLED,33B,9827.3,False,CARD
B1053,P1598,UK216,20260401,PENDING,28B,4621.1,False,UPI
B1053,P1598,UK216,20260401,PENDING,28B,3081.42,False,CARD
B1054,P1841,AI132,20260411,CANCELLED,19C,,,
B1055,P1425,6F012,20251014,CANCELLED,13F,,,
B1056,P1947,UK173,20260324,CANCELLED,15B,3173.87,False,NETBANKING
B1056,P1947,UK173,20260324,CANCELLED,15B,,True,CARD
B1057,P1664,SJ047,20250820,CANCELLED,14F,1987.07,False,UPI
B1057,P1664,SJ047,20250820,CANCELLED,14F,10224.13,False,CARD
B1058,P1693,SJ043,20251207,PENDING,8C,,,
B1059,P1124,UK140,20260103,CONFIRMED,23B,10839.07,False,UPI
B1060,P1066,6F086,20251230,CONFIRMED,11A,11681.98,False,UPI
B1061,P1005,6F114,20260405,CANCELLED,19C,12021.5,False,CARD
B1061,P1005,6F114,20260405,CANCELLED,19C,6835.68,False,CARD
B1061,P1005,6F114,20260405,CANCELLED,19C,12722.62,False,NETBANKING
B1062,P1636,UK153,20250612,CANCELLED,15D,,,
B1063,P1313,6F149,20250519,CANCELLED,9A,,,
B1064,P1325,UK145,20250914,CONFIRMED,24E,14413.72,False,UPI
B1065,P1564,UK010,20260306,CANCELLED,7B,,,
B1066,P1577,SJ003,20251105,PENDING,1B,,,
B1067,P1825,SJ160,20250723,PENDING,7F,4488.44,False,UPI
B1067,P1825,SJ160,20250723,PENDING,7F,7570.06,False,UPI
B1067,P1825,SJ160,20250723,PENDING,7F,5374.84,False,NETBANKING
B1068,P1505,UK224,20251122,PENDING,23A,5274.94,False,NETBANKING
B1069,P1081,UK152,20250802,CONFIRMED,16E,14992.95,False,UPI
B1070,P1598,SJ034,20250922,CANCELLED,15D,5631.13,False,NETBANKING
B1071,P1001,UK215,20251221,CANCELLED,15F,,,
B1072,P1203,UK089,20250810,CANCELLED,18F,,,
B1073,P1661,6F180,20251204,CONFIRMED,16A,,,
B1074,P1804,6F188,20250925,CONFIRMED,7A,,,
B1075,P1403,UK131,20260103,CONFIRMED,2F,,,
B1076,P1102,UK055,20250504,CONFIRMED,12B,8247.5,False,CARD
B1077,P1535,UK181,20250503,PENDING,3A,2981.73,False,NETBANKING
B1077,P1535,UK181,20250503,PENDING,3A,8279.97,False,CARD
B1078,P1367,6F077,20250921,CONFIRMED,1B,,,
B1079,P1211,SJ085,20250603,CONFIRMED,10D,,,
B1080,P1576,SJ023,20250605,CONFIRMED,22D,6604.5,False,UPI
B1080,P1576,SJ023,20250605,CONFIRMED,22D,14564.92,False,CARD
B1081,P1960,SJ202,20251113,CANCELLED,29C,,,
B1082,P1208,SJ150,20250909,CANCELLED,30A,,,
B1083,P1762,SJ116,20250512,CANCELLED,9A,6777.38,False,NETBANKING
B1084,P1896,6F270,20250614,PENDING,16E,,,
B1085,P1116,UK150,20260324,PENDING,12A,11410.8,False,NETBANKING
B1086,P1627,SJ237,20260216,CONFIRMED,5D,3704.21,False,UPI
B1086,P1627,SJ237,20260216,CONFIRMED,5D,1169.75,False,UPI
B1087,P1748,AI221,20250508,CANCELLED,2F,1154.4,False,NETBANKING
B1087,P1748,AI221,20250508,CANCELLED,2F,2037.52,False,UPI
B1088,P1477,SJ081,20260325,PENDING,31A,7375.1,False,UPI
B1089,P1104,UK189,20250903,CANCELLED,25F,,,
B1090,P1494,SJ068,20250516,PENDING,31C,,,
B1091,P1770,6F043,20250818,PENDING,25D,,,
B1092,P1045,UK187,20260318,CONFIRMED,16D,9120.54,False,UPI
B1092,P1045,UK187,20260318,CONFIRMED,16D,5439.03,False,CARD
B1092,P1045,UK187,20260318,CONFIRMED,16D,1339.36,False,NETBANKING
B1093,P1822,UK074,20250511,CONFIRMED,25E,,,
B1094,P1330,UK004,20260107,PENDING,24C,6923.06,False,CARD
B1094,P1330,UK004,20260107,PENDING,24C,10637.23,False,CARD
B1095,P1215,6F194,20250730,CONFIRMED,14B,,,
B1096,P1981,UK068,20260103,PENDING,12B,9995.45,False,NETBANKING
B1096,P1981,UK068,20260103,PENDING,12B,8168.44,False,UPI
B1097,P1959,6F017,20250826,UNKNOWN,34F,,,
B1098,P1491,6F245,20251015,UNKNOWN,13D,10455.66,False,CARD
B1099,P1812,6F254,20251207,CONFIRMED,26E,,,
B1100,P1921,UK077,20260305,CONFIRMED,16D,,,
B1101,P1844,AI029,20250719,CONFIRMED,3D,2214.47,False,CARD
B1102,P1448,SJ196,20251006,UNKNOWN,15F,10265.07,False,UPI
B1102,P1448,SJ196,20251006,UNKNOWN,15F,14361.62,False,CARD
B1103,P1535,AI242,20250808,CANCELLED,20D,10750.13,False,NETBANKING
B1103,P1535,AI242,20250808,CANCELLED,20D,3312.42,False,NETBANKING
B1104,P1510,AI242,20250912,CANCELLED,16E,,,
B1105,P1457,SJ044,20250911,CONFIRMED,19F,14294.21,False,UPI
B1106,P1546,UK063,20250901,CONFIRMED,21F,,True,UPI
B1107,P1535,AI056,20250519,CONFIRMED,30F,,,
B1108,P1539,UK207,20251011,CANCELLED,14B,,,
B1109,P1483,UK166,20251203,CANCELLED,33D,13080.08,False,NETBANKING
B1110,P1975,6F261,20251217,PENDING,12B,,,
B1111,P1999,UK134,20251225,CANCELLED,34A,,True,NETBANKING
B1112,P1015,6F152,20251002,PENDING,27A,10855.19,False,UPI
B1112,P1015,6F152,20251002,PENDING,27A,9807.59,False,NETBANKING
B1113,P1570,SJ089,20251123,CONFIRMED,5A,9457.62,False,UPI
B1114,P1976,6F123,20250926,CANCELLED,2E,8187.33,False,NETBANKING
B1115,P1242,AI025,20250823,CONFIRMED,10A,8185.02,False,UPI
B1116,P1949,6F030,20251205,CONFIRMED,19B,9883.49,False,NETBANKING
B1117,P1206,SJ222,20250902,CONFIRMED,28F,11125.21,False,CARD
B1117,P1206,SJ222,20250902,CONFIRMED,28F,13517.5,False,UPI
B1118,P1911,UK109,20260403,CONFIRMED,34B,,True,NETBANKING
B1119,P1270,SJ117,20251125,CANCELLED,21F,14344.34,False,NETBANKING
B1119,P1270,SJ117,20251125,CANCELLED,21F,7924.37,False,CARD
B1120,P1760,SJ142,20250812,CONFIRMED,12D,,True,CARD
B1120,P1760,SJ142,20250812,CONFIRMED,12D,1037.82,False,CARD
B1120,P1760,SJ142,20250812,CONFIRMED,12D,1533.66,False,UPI
B1121,P1993,SJ142,20250601,PENDING,17C,,,
B1122,P1778,AI030,20250502,CANCELLED,20B,,,
B1123,P1704,6F097,20250923,CONFIRMED,8A,6074.04,False,UPI
B1123,P1704,6F097,20250923,CONFIRMED,8A,8451.44,False,NETBANKING
B1124,P1846,6F129,20250523,CANCELLED,5C,,True,CARD
B1124,P1846,6F129,20250523,CANCELLED,5C,2030.14,False,UPI
B1124,P1846,6F129,20250523,CANCELLED,5C,13723.54,False,UPI
B1125,P1729,6F181,20260115,PENDING,27E,,,
B1126,P1114,AI072,20251020,CONFIRMED,10E,,,
B1127,P1579,SJ154,20250629,PENDING,2E,,,
B1128,P1298,AI031,20260408,CONFIRMED,10D,,,
B1129,P1836,AI031,20250918,PENDING,26F,12008.51,False,UPI
B1130,P1482,6F158,20251226,CONFIRMED,34E,,,
B1131,P1396,6F184,20250616,CANCELLED,1C,3592.91,False,UPI
B1132,P1393,UK141,20250620,CONFIRMED,10D,,True,UPI
B1132,P1393,UK141,20250620,CONFIRMED,10D,2045.26,False,UPI
B1132,P1393,UK141,20250620,CONFIRMED,10D,2632.44,False,UPI
B1133,P1074,6F168,20251229,CANCELLED,23D,12903.74,False,NETBANKING
B1133,P1074,6F168,20251229,CANCELLED,23D,1296.69,False,NETBANKING
B1134,P1977,6F051,20250728,CONFIRMED,34C,,,
B1135,P1481,6F047,20251202,CONFIRMED,20E,10501.09,False,CARD
B1136,P1102,UK156,20251026,PENDING,28E,2857.01,False,NETBANKING
B1137,P1296,AI094,20250901,PENDING,13E,6179.22,False,CARD
B1137,P1296,AI094,20250901,PENDING,13E,3913.54,False,UPI
B1138,P1177,AI038,20250714,PENDING,6C,,,
B1139,P1214,6F255,20260119,CONFIRMED,29F,6016.05,False,UPI
B1140,P1966,SJ025,20260123,CONFIRMED,29D,8447.38,False,NETBANKING
B1140,P1966,SJ025,20260123,CONFIRMED,29D,,True,CARD
B1141,P1314,SJ185,20251028,CONFIRMED,9C,,,
B1142,P1038,6F259,20260121,CANCELLED,5C,4506.21,False,CARD
B1143,P1258,6F073,20260407,CANCELLED,15A,6360.73,False,NETBANKING
B1144,P1715,AI091,20250926,CONFIRMED,6D,,True,CARD
B1145,P1006,6F191,20250823,PENDING,15D,,,
B1146,P1048,UK228,20250830,PENDING,25A,,True,UPI
B1147,P1537,6F146,20260325,PENDING,11E,,,
B1148,P1160,6F068,20251013,CONFIRMED,19A,,,
B1149,P1868,SJ218,20260108,PENDING,30F,3280.83,False,UPI
B1149,P1868,SJ218,20260108,PENDING,30F,9112.92,False,CARD
B1150,P1175,UK083,20250925,CONFIRMED,12A,12535.73,False,NETBANKING
B1151,P1590,SJ007,20260118,CANCELLED,29B,,True,CARD
B1152,P1001,AI077,20250814,PENDING,27A,,,
B1153,P1894,UK017,20251220,CANCELLED,8D,5774.24,False,NETBANKING
B1154,P1454,6F229,20260217,PENDING,24A,9979.51,False,UPI
B1155,P1927,6F074,20251008,CONFIRMED,6D,,,
B1156,P1643,SJ088,20260325,CONFIRMED,5E,3413.47,False,NETBANKING
B1157,P1275,SJ167,20250628,CONFIRMED,18B,7902.25,False,NETBANKING
B1158,P1497,6F234,20250720,CONFIRMED,22A,14265.47,False,UPI
B1159,P1628,UK071,20251210,PENDING,22F,8897.78,False,CARD
B1159,P1628,UK071,20251210,PENDING,22F,,True,CARD
B1159,P1628,UK071,20251210,PENDING,22F,8064.97,False,CARD
B1160,P1675,AI178,20251121,CANCELLED,29A,5267.38,False,UPI
B1161,P1799,UK104,20251114,CONFIRMED,12A,7144.72,False,UPI
B1161,P1799,UK104,20251114,CONFIRMED,12A,9652.61,False,UPI
B1161,P1799,UK104,20251114,CONFIRMED,12A,7842.91,False,CARD
B1162,P1027,AI146,20250422,UNKNOWN,32D,,,
B1163,P1332,SJ235,20251110,CANCELLED,13D,,,
B1164,P1000,6F209,20250424,CONFIRMED,24A,2684.77,False,UPI
B1165,P1187,AI129,20250820,CANCELLED,2F,10424.86,False,NETBANKING
B1165,P1187,AI129,20250820,CANCELLED,2F,9442.05,False,UPI
B1165,P1187,AI129,20250820,CANCELLED,2F,13603.29,False,CARD
B1165,P1187,AI129,20250820,CANCELLED,2F,9627.79,False,CARD
B1166,P1055,SJ141,20260123,CONFIRMED,34D,5530.81,False,NETBANKING
B1167,P1546,SJ018,20260202,CANCELLED,9F,7043.11,False,CARD
B1167,P1546,SJ018,20260202,CANCELLED,9F,12224.46,False,UPI
B1167,P1546,SJ018,20260202,CANCELLED,9F,8032.22,False,NETBANKING
B1168,P1111,UK120,20251014,CANCELLED,11C,5435.83,False,CARD
B1169,P1797,AI078,20251115,CONFIRMED,11E,3795.6,False,NETBANKING
B1170,P1309,AI079,20250914,PENDING,15E,,,
B1171,P1035,UK087,20250919,CANCELLED,21A,7227.28,False,UPI
B1171,P1035,UK087,20250919,CANCELLED,21A,12677.76,False,UPI
B1171,P1035,UK087,20250919,CANCELLED,21A,3406.0,False,UPI
B1172,P1438,UK133,20260117,CONFIRMED,8F,9220.51,False,NETBANKING
B1172,P1438,UK133,20260117,CONFIRMED,8F,10384.47,False,NETBANKING
B1172,P1438,UK133,20260117,CONFIRMED,8F,5872.42,False,UPI
B1173,P1728,AI222,20250601,CANCELLED,22E,,True,UPI
B1174,P1591,6F049,20260412,CANCELLED,19D,,True,NETBANKING
B1175,P1825,6F105,20260129,PENDING,27D,10654.9,False,UPI
B1176,P1594,SJ226,20250417,CANCELLED,7C,,,
B1177,P1576,SJ227,20250729,CANCELLED,34D,12412.89,False,NETBANKING
B1178,P1324,6F034,20260205,CONFIRMED,34E,,True,NETBANKING
B1179,P1639,SJ078,20251003,CONFIRMED,33D,3495.66,False,UPI
B1179,P1639,SJ078,20251003,CONFIRMED,33D,4786.25,False,NETBANKING
B1179,P1639,SJ078,20251003,CONFIRMED,33D,2337.61,False,UPI
B1180,P1306,AI240,20260410,PENDING,22F,,,
B1181,P1533,SJ002,20260329,CANCELLED,12E,,,
B1182,P1727,AI044,20250811,CANCELLED,3A,9005.88,False,UPI
B1183,P1618,UK076,20250622,CANCELLED,8C,,,
B1184,P1108,6F232,20250801,PENDING,28E,,,
B1185,P1371,SJ228,20250816,CANCELLED,25E,13080.31,False,CARD
B1186,P1356,SJ074,20260404,CONFIRMED,1B,,,
B1187,P1180,UK229,20250804,PENDING,7F,6625.76,False,NETBANKING
B1188,P1355,AI208,20260404,CONFIRMED,6A,,,
B1189,P1675,AI019,20251123,CONFIRMED,14F,,,
B1190,P1067,6F029,20250523,PENDING,12B,,,
B1191,P1291,6F018,20250427,CONFIRMED,25B,,,
B1192,P1691,AI059,20250623,CANCELLED,7D,,True,UPI
B1193,P1180,AI159,20250522,PENDING,13D,,,
B1194,P1465,6F091,20250711,CONFIRMED,14F,,,
B1195,P1433,6F084,20250720,CANCELLED,10B,13205.17,False,UPI
B1195,P1433,6F084,20250720,CANCELLED,10B,6019.11,False,CARD
B1196,P1463,UK170,20260115,CANCELLED,20C,,,
B1197,P1680,UK212,20250519,CONFIRMED,2E,8876.86,False,CARD
B1198,P1913,SJ022,20250616,UNKNOWN,29A,1830.32,False,CARD
B1199,P1533,SJ075,20251213,PENDING,30E,12300.69,False,NETBANKING
B1199,P1533,SJ075,20251213,PENDING,30E,1198.83,False,CARD
B1200,P1065,UK177,20250917,CONFIRMED,16B,10067.38,False,NETBANKING
B1200,P1065,UK177,20250917,CONFIRMED,16B,14034.27,False,CARD
B1200,P1065,UK177,20250917,CONFIRMED,16B,6711.92,False,NETBANKING
B1201,P1020,UK206,20260201,CANCELLED,3A,7338.75,False,CARD
B1202,P1611,UK079,20250429,CANCELLED,29C,1973.12,False,UPI
B1203,P1383,UK040,20250621,CONFIRMED,3B,12774.63,False,NETBANKING
B1204,P1811,AI034,20250725,CONFIRMED,30A,14106.07,False,CARD
B1205,P1614,UK034,20251018,CONFIRMED,23F,10452.65,False,UPI
B1206,P1558,AI088,20250702,CONFIRMED,13A,,,
B1207,P1038,AI128,20250611,PENDING,26A,10823.99,False,CARD
B1208,P1284,SJ052,20250722,UNKNOWN,9A,9105.12,False,NETBANKING
B1208,P1284,SJ052,20250722,UNKNOWN,9A,12966.45,False,CARD
B1209,P1821,AI233,20251215,PENDING,3A,10307.2,False,NETBANKING
B1210,P1601,AI012,20260120,PENDING,3C,,,
B1211,P1596,AI084,20250707,CONFIRMED,34A,,,
B1212,P1784,6F126,20250708,PENDING,34B,8421.62,False,NETBANKING
B1213,P1335,SJ061,20250616,CONFIRMED,2E,,,
B1214,P1187,UK194,20250814,UNKNOWN,23B,,,
B1215,P1670,AI135,20250808,CANCELLED,28C,9065.13,False,NETBANKING
B1215,P1670,AI135,20250808,CANCELLED,28C,2886.02,False,NETBANKING
B1216,P1242,6F238,20251209,CONFIRMED,10A,1149.69,False,CARD
B1216,P1242,6F238,20251209,CONFIRMED,10A,12779.83,False,UPI
B1216,P1242,6F238,20251209,CONFIRMED,10A,5236.29,False,NETBANKING
B1217,P1072,6F092,20260319,CANCELLED,32C,,,
B1218,P1478,AI213,20251113,PENDING,2D,,,
B1219,P1973,UK193,20260215,CANCELLED,1B,,,
B1220,P1560,6F178,20260404,PENDING,29C,11075.72,False,UPI
B1221,P1100,AI158,20260306,CONFIRMED,19D,13658.68,False,UPI
B1221,P1100,AI158,20260306,CONFIRMED,19D,5138.43,False,UPI
B1222,P1513,UK208,20260330,PENDING,8A,,,
B1223,P1755,6F056,20260409,UNKNOWN,15A,1794.08,False,UPI
B1224,P1175,UK185,20251026,CONFIRMED,1E,,,
B1225,P1237,AI163,20260113,PENDING,4D,,True,CARD
B1225,P1237,AI163,20260113,PENDING,4D,3894.65,False,CARD
B1226,P1909,AI112,20250823,CONFIRMED,15C,8968.11,False,NETBANKING
B1227,P1058,AI227,20251023,CANCELLED,12A,,True,CARD
B1228,P1864,SJ083,20260417,CONFIRMED,29D,4629.36,False,CARD
B1228,P1864,SJ083,20260417,CONFIRMED,29D,7087.22,False,UPI
B1229,P1098,UK073,20260207,CONFIRMED,13F,,,
B1230,P1953,6F169,20250429,PENDING,6C,4531.77,False,CARD
B1231,P1870,UK154,20260406,CANCELLED,27D,6547.3,False,UPI
B1231,P1870,UK154,20260406,CANCELLED,27D,5009.12,False,UPI
B1232,P1953,SJ169,20251006,CONFIRMED,32F,,,
B1233,P1494,6F187,20250513,CANCELLED,5F,1617.29,False,NETBANKING
B1234,P1946,UK210,20251121,CANCELLED,33A,7984.22,False,CARD
B1235,P1979,6F250,20251223,PENDING,13D,,True,NETBANKING
B1235,P1979,6F250,20251223,PENDING,13D,1236.74,False,CARD
B1236,P1513,AI062,20250705,CONFIRMED,25A,,,
B1237,P1754,AI047,20251116,UNKNOWN,15B,,,
B1238,P1296,SJ186,20251020,UNKNOWN,8E,3231.46,False,UPI
B1239,P1210,AI217,20251117,CANCELLED,30A,8821.9,False,UPI
B1240,P1122,UK100,20251231,CONFIRMED,17A,12241.53,False,UPI
B1241,P1228,UK116,20251216,CONFIRMED,10A,,True,NETBANKING
B1242,P1593,6F036,20251201,CANCELLED,26C,,,
B1243,P1655,AI175,20260122,CANCELLED,29E,,,
B1244,P1387,UK051,20250818,CONFIRMED,27D,4953.56,False,CARD
B1245,P1139,6F201,20260417,UNKNOWN,26A,3162.91,False,CARD
B1246,P1540,6F230,20260409,CONFIRMED,33B,11516.06,False,CARD
B1247,P1390,SJ138,20250813,CANCELLED,15F,7658.69,False,CARD
B1248,P1269,AI246,20260304,PENDING,16B,,,
B1249,P1758,6F179,20250606,CANCELLED,26B,1969.22,False,UPI
B1249,P1758,6F179,20250606,CANCELLED,26B,3055.22,False,NETBANKING
B1250,P1011,6F031,20260128,CANCELLED,16F,6497.92,False,NETBANKING
B1251,P1866,UK015,20250830,PENDING,29A,6952.65,False,UPI
B1252,P1388,UK001,20250421,CANCELLED,27C,1480.08,False,CARD
B1253,P1336,6F133,20260227,CANCELLED,15E,2152.89,False,NETBANKING
B1253,P1336,6F133,20260227,CANCELLED,15E,14029.28,False,NETBANKING
B1254,P1505,6F143,20250722,CANCELLED,5D,,True,UPI
B1255,P1105,UK165,20250922,CANCELLED,23F,1412.67,False,CARD
B1256,P1031,6F083,20250810,CANCELLED,22B,2040.64,False,NETBANKING
B1257,P1073,AI082,20250819,CANCELLED,11C,13028.65,False,NETBANKING
B1258,P1170,AI164,20251028,CANCELLED,21F,,,
B1259,P1848,SJ155,20260119,CANCELLED,31F,12805.67,False,CARD
B1260,P1068,AI189,20260104,CANCELLED,1D,9458.88,False,NETBANKING
B1260,P1068,AI189,20260104,CANCELLED,1D,2117.99,False,NETBANKING
B1260,P1068,AI189,20260104,CANCELLED,1D,4716.99,False,NETBANKING
B1261,P1812,SJ057,20251221,CONFIRMED,34A,,,
B1262,P1361,SJ198,20250507,CONFIRMED,16F,3896.83,False,UPI
B1262,P1361,SJ198,20250507,CONFIRMED,16F,6722.37,False,UPI
B1263,P1648,6F122,20260103,CANCELLED,6C,1483.05,False,NETBANKING
B1263,P1648,6F122,20260103,CANCELLED,6C,10997.85,False,UPI
B1264,P1432,SJ097,20260415,CONFIRMED,12A,3936.86,False,NETBANKING
B1264,P1432,SJ097,20260415,CONFIRMED,12A,4662.75,False,UPI
B1265,P1928,UK203,20250806,PENDING,28F,,,
B1266,P1995,UK093,20260116,CONFIRMED,27F,14431.32,False,UPI
B1267,P1099,AI205,20250521,CANCELLED,32A,2158.29,False,CARD
B1267,P1099,AI205,20250521,CANCELLED,32A,14150.69,False,UPI
B1268,P1657,AI102,20260116,UNKNOWN,12A,13289.27,False,CARD
B1269,P1008,6F046,20250906,CONFIRMED,4C,6692.76,False,UPI
B1269,P1008,6F046,20250906,CONFIRMED,4C,14606.94,False,CARD
B1270,P1573,SJ017,20250602,UNKNOWN,22E,,,
B1271,P1696,6F156,20251020,PENDING,28B,12211.33,False,NETBANKING
B1272,P1028,AI068,20250718,PENDING,19A,7902.41,False,UPI
B1272,P1028,AI068,20250718,PENDING,19A,12486.95,False,UPI
B1272,P1028,AI068,20250718,PENDING,19A,,True,UPI
B1272,P1028,AI068,20250718,PENDING,19A,10043.5,False,CARD
B1273,P1892,AI150,20250605,UNKNOWN,28B,5268.31,False,UPI
B1273,P1892,AI150,20250605,UNKNOWN,28B,3873.81,False,CARD
B1274,P1113,UK008,20251015,PENDING,20D,8582.34,False,NETBANKING
B1275,P1461,6F166,20250711,PENDING,18F,,,
B1276,P1920,6F177,20250715,CONFIRMED,1A,9396.07,False,UPI
B1277,P1142,AI196,20260119,PENDING,12E,,,
B1278,P1389,SJ191,20250809,CONFIRMED,5B,,,
B1279,P1631,6F019,20250510,UNKNOWN,28C,5467.05,False,UPI
B1280,P1681,AI226,20260412,CONFIRMED,33B,,,
B1281,P1156,SJ207,20260121,CANCELLED,4A,4413.8,False,CARD
B1282,P1334,AI009,20251230,CANCELLED,8B,,,
B1283,P1860,AI103,20250508,UNKNOWN,29D,1369.37,False,NETBANKING
B1283,P1860,AI103,20250508,UNKNOWN,29D,7236.69,False,CARD
B1284,P1259,SJ127,20260222,CANCELLED,25F,4189.8,False,UPI
B1284,P1259,SJ127,20260222,CANCELLED,25F,8516.93,False,CARD
B1285,P1081,UK188,20260326,CANCELLED,25B,1207.32,False,NETBANKING
B1286,P1753,6F010,20250925,UNKNOWN,33B,,,
B1287,P1440,SJ098,20251213,CANCELLED,5F,14610.33,False,CARD
B1287,P1440,SJ098,20251213,CANCELLED,5F,7693.36,False,CARD
B1288,P1944,6F058,20251211,PENDING,18C,1114.05,False,CARD
B1288,P1944,6F058,20251211,PENDING,18C,8140.84,False,NETBANKING
B1289,P1171,SJ030,20260323,PENDING,24F,,True,UPI
B1289,P1171,SJ030,20260323,PENDING,24F,12016.99,False,NETBANKING
B1290,P1230,UK175,20250726,CANCELLED,16F,13471.57,False,UPI
B1291,P1719,SJ108,20260401,PENDING,28E,4129.39,False,NETBANKING
B1292,P1074,6F075,20250803,CONFIRMED,7C,13787.78,False,NETBANKING
B1292,P1074,6F075,20250803,CONFIRMED,7C,8321.74,False,UPI
B1293,P1269,UK222,20250831,CONFIRMED,25F,6227.3,False,NETBANKING
B1294,P1898,6F250,20250713,CANCELLED,34B,,,
B1295,P1625,AI096,20251229,CANCELLED,14B,,,
B1296,P1061,AI216,20251223,CANCELLED,1B,,,
